[2025-08-03 05:22:10] === CSS Syntax Cleanup Started ===
[2025-08-03 05:22:10] Original CSS size: 1,360,421 bytes
[2025-08-03 05:22:10] ✅ Created backup: main.css.pre-cleanup-2025-08-03_05-22-10.backup
[2025-08-03 05:22:10] Step 1: Converting Tailwind utility classes to proper CSS...
[2025-08-03 05:22:10]   ✅ Fixed pattern: /block;/ (236 occurrences)
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-5 { padding: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-6 { padding: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-8 { padding: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pb-2 { padding-bottom: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pb-3 { padding-bottom: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pb-4 { padding-bottom: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pb-6 { padding-bottom: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pl-3 { padding-left: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pl-4 { padding-left: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pl-10 { padding-left: var(--space-10); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pr-2 { padding-right: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pr-3 { padding-right: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pr-4 { padding-right: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pr-8 { padding-right: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pt-1 { padding-top: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pt-2 { padding-top: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pt-3 { padding-top: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pt-4 { padding-top: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pt-6 { padding-top: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-1 { padding-left: var(--space-1); padding-right: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-2 { padding-left: var(--space-2); padding-right: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-3 { padding-left: var(--space-3); padding-right: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-4 { padding-left: var(--space-4); padding-right: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-5 { padding-left: var(--space-5); padding-right: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-6 { padding-left: var(--space-6); padding-right: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-0\.5 { padding-top: var(--space-0); padding-bottom: var(--space-0); } /* Note: 0.5 is equivalent to 0 */
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-1 { padding-top: var(--space-1); padding-bottom: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-1\.5 { padding-top: var(--space-1); padding-bottom: var(--space-1); } /* Note: 1.5 is equivalent to 1 */
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-2 { padding-top: var(--space-2); padding-bottom: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-3 { padding-top: var(--space-3); padding-bottom: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-4 { padding-top: var(--space-4); padding-bottom: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-6 { padding-top: var(--space-6); padding-bottom: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-8 { padding-top: var(--space-8); padding-bottom: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-12 { padding-top: var(--space-12); padding-bottom: var(--space-12); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: @media (min-width: 640px) { .sm\:px-6 { padding-left: var(--space-6); padding-right: var(--space-6); } }
[2025-08-03 05:22:11]   ✅ Removed standalone property: @media (min-width: 768px) { .md\:p-4 { padding: var(--space-4); } }
[2025-08-03 05:22:11]   ✅ Removed standalone property: @media (min-width: 1024px) { .lg\:px-8 { padding-left: var(--space-8); padding-right: var(--space-8); } }
[2025-08-03 05:22:11]   ✅ Removed standalone property: @media (min-width: 1024px) { .lg\:p-6 { padding: var(--space-6); } }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .m-8 { margin: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .m-10 { margin: var(--space-10); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .m-12 { margin: var(--space-12); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .m-16 { margin: var(--space-16); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .m-20 { margin: var(--space-20); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-0 { margin-left: 0; margin-right: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-1 { margin-left: var(--space-1); margin-right: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-2 { margin-left: var(--space-2); margin-right: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-3 { margin-left: var(--space-3); margin-right: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-4 { margin-left: var(--space-4); margin-right: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-5 { margin-left: var(--space-5); margin-right: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-6 { margin-left: var(--space-6); margin-right: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-8 { margin-left: var(--space-8); margin-right: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-10 { margin-left: var(--space-10); margin-right: var(--space-10); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-12 { margin-left: var(--space-12); margin-right: var(--space-12); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-16 { margin-left: var(--space-16); margin-right: var(--space-16); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .mx-20 { margin-left: var(--space-20); margin-right: var(--space-20); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-0 { margin-top: 0; margin-bottom: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-1 { margin-top: var(--space-1); margin-bottom: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-2 { margin-top: var(--space-2); margin-bottom: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-3 { margin-top: var(--space-3); margin-bottom: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-4 { margin-top: var(--space-4); margin-bottom: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-5 { margin-top: var(--space-5); margin-bottom: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-6 { margin-top: var(--space-6); margin-bottom: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-8 { margin-top: var(--space-8); margin-bottom: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-10 { margin-top: var(--space-10); margin-bottom: var(--space-10); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-12 { margin-top: var(--space-12); margin-bottom: var(--space-12); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-16 { margin-top: var(--space-16); margin-bottom: var(--space-16); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .my-20 { margin-top: var(--space-20); margin-bottom: var(--space-20); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-0 { padding: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-1 { padding: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-2 { padding: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-3 { padding: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-4 { padding: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-5 { padding: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-6 { padding: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-8 { padding: var(--space-8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-10 { padding: var(--space-10); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-12 { padding: var(--space-12); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-16 { padding: var(--space-16); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-20 { padding: var(--space-20); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-0 { padding-left: 0; padding-right: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-1 { padding-left: 8px; padding-right: 8px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-2 { padding-left: var(--space-2); padding-right: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-3 { padding-left: var(--space-3); padding-right: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-5 { padding-left: var(--space-5); padding-right: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .px-6 { padding-left: var(--space-6); padding-right: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-0 { padding-top: 0; padding-bottom: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-1 { padding-top: var(--space-1); padding-bottom: var(--space-1); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-2 { padding-top: var(--space-2); padding-bottom: var(--space-2); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-3 { padding-top: var(--space-3); padding-bottom: var(--space-3); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-4 { padding-top: var(--space-4); padding-bottom: var(--space-4); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-5 { padding-top: var(--space-5); padding-bottom: var(--space-5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .py-6 { padding-top: var(--space-6); padding-bottom: var(--space-6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-scrollbar-color-cbd5e0-f7fafc { scrollbar-color: #cbd5e0 #f7fafc; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-text-align-center { text-align: center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-text-align-left { text-align: left; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-text-align-right { text-align: right; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-text-decoration-none { text-decoration: none; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-0 { top: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-10px { top: 10px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-20px { top: 20px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-2px { top: 2px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-50 { top: 50%; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-6px { top: 6px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transform-translateY-50 { transform: translateY(-50%); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transition-background-0-3s { transition: background 0.3s; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transition-background-color-0-2s { transition: background-color 0.2s; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transition-border-color-0-3s { transition: border-color 0.3s; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transition-opacity-0-3s-ease { transition: opacity 0.3s ease; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-visibility-visible-important { visibility: visible; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-width-100 { width: 100%; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-width-16px { width: 16px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-width-40px { width: 40px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-align-items-center { align-items:center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-6b7280 { background-color: #6b7280; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-87ac3a { background-color: #87ac3a; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-87ac3a-important { background-color: #87ac3a; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-d32f2f { background-color: #d32f2f; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-dc2626 { background-color: #dc2626; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-e8f4e8 { background-color: #e8f4e8; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-f5f5f5 { background-color: #f5f5f5; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-f9f9f9 { background-color: #f9f9f9; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-fff3cd { background-color: #fff3cd; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-color-white { background-color: white; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-2196F3 { background: #2196F3; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-4CAF50 { background: #4CAF50; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-e3f2fd { background: #e3f2fd; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-f0f0f0 { background: #f0f0f0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-f8f9fa { background: #f8f9fa; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-FF9800 { background: #FF9800; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-linear-gradient-135deg-10b981-3b82f6 { background: linear-gradient(135deg, #10b981, #3b82f6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-linear-gradient-to-right-3b82f6-1d4ed8 { background: linear-gradient(to right, #3b82f6, #1d4ed8); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-linear-gradient-to-right-87ac3a-6b8e23 { background: linear-gradient(to right, #87ac3a, #6b8e23); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-rgba-0-0-0-0-5 { background: rgb(0 0 0 / 50%); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-white { background: white; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-f8f9fa { background:#f8f9fa; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-background-rgba-107-142-35-0-9 { background:rgb(107 142 35 / 90%); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-border-radius-20px { border-radius:20px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-border-radius-6px { border-radius:6px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-border-radius-8px { border-radius:8px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-border-top-2px-solid-333 { border-top: 2px solid #333; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-border-top-2px-solid-dc3545 { border-top: 2px solid #dc3545; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-box-shadow-0-1px-3px-bbb { box-shadow:0 1px 3px #bbb; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-box-shadow-0-2px-8px-rgba-0-0-0-0-1 { box-shadow:0 2px 8px rgb(0 0 0 / 10%); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-333 { color: #333; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-666 { color: #666; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-87ac3a { color: #87ac3a; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-d32f2f { color: #d32f2f; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-dc2626 { color: #dc2626; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-var-primary-color-87ac3a { color: var(--primary-color, #87ac3a); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-var-primary-color { color: var(--primary-color); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-color-6c757d { color:#6c757d; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-cursor-pointer { cursor: pointer; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-block { display: display: block; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-flex { display: display: flex; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-grid { display: display: grid; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-inline-block { display: inline-display: block; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-none { display: none; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-flex { display:display: flex; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-display-none { display:none; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-flex-direction-column { flex-direction:column; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-flex-1 { flex: 1; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-family-Arial-sans-serif { font-family: Arial, sans-serif; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-0-875rem { font-size: 0.875rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-0-8rem { font-size: 0.8rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-0-9rem { font-size: 0.9rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-1-1rem { font-size: 1.1rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-1-4rem { font-size: 1.4rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-1-5rem { font-size: 1.5rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-16px { font-size: 16px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-1rem { font-size: 1rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-2rem { font-size: 2rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-2rem-important { font-size: 2rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-3rem { font-size: 3rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-0-8rem { font-size:0.8rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-0-9rem { font-size:0.9rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-2rem { font-size:2rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-size-3rem { font-size:3rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-weight-bold { font-weight: bold; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-weight-500 { font-weight:500; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-font-weight-bold { font-weight:bold; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-height-100 { height: 100%; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-height-150px { height: 150px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-height-192px { height: 192px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-height-100 { height:100%; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-height-40px { height:40px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-justify-content-center { justify-content:center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-list-style-none { list-style: none; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-0 { margin-bottom: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-1-5rem { margin-bottom: 1.5rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-10px { margin-bottom: 10px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-15px { margin-bottom: 15px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-2rem { margin-bottom: 2rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-0-5rem { margin-bottom:0.5rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-top-0-5rem { margin-top: 0.5rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-top-30px { margin-top: 30px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-0 { margin: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-0-0-20px-0 { margin: 0 0 20px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-5px-0-0-0 { margin: 5px 0 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-height-100px { max-height: 100px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-height-200px { max-height: 200px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-height-600px { max-height: 600px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-height-70vh { max-height: 70vh; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-100 { max-width: 100%; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-1100px { max-width: 1100px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-400px { max-width: 400px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-500px { max-width: 500px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-600px { max-width: 600px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-700px { max-width: 700px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-800px { max-width: 800px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-max-width-900px { max-width: 900px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-min-width-100px { min-width: 100px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-object-fit-cover { object-fit:cover; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-object-position-center { object-position: center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-opacity-0-7 { opacity:0.7; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-0 { padding: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-10px { padding: 10px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-2rem { padding: 2rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-4px-0 { padding: 4px 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-8px-0 { padding: 8px 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-8px-16px { padding: 8px 16px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-6px-12px { padding:6px 12px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-position-absolute { position: absolute; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-position-fixed { position: fixed; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-position-relative { position: relative; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transform-scale-0-6 { transform: scale(0.6); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transform-scale-0-5 { transform: scale(0.5); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transform-origin-center { transform-origin: center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-top-15px { top: 15px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-left-15px { left: 15px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-right-15px { right: 15px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-width-1250px { width: 1250px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-flex-direction-column { flex-direction: column; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-gap-0 { gap: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-margin-bottom-0 { margin-bottom: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-padding-horizontal-0 { padding: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .u-transform-translateY-10px { transform: translateY(10px); }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .fixed { position: fixed; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .inset-0 { inset: 0; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .flex { display: display: flex; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .items-center { align-items: center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .justify-center { justify-content: center; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .p-4 { padding: 1rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-black { background-color: #000; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-opacity-50 { opacity: 0.5; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .image-viewer-modal-closed { display: none !important; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .image-viewer-modal-open { display: flex !important; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-opacity-90 { opacity: 0.9; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pointer-events-none { pointer-events: none; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .pointer-events-auto { pointer-events: auto; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .h-6 { height: 1.5rem; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .rounded-full { border-radius: 9999px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .border-2 { border-width: 2px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .border { border-width: 1px; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-gray-200 { background-color: #e5e7eb; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-gray-300 { background-color: #d1d5db; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-green-500 { background-color: #10b981; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-red-500 { background-color: #ef4444; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-blue-50 { background-color: #eff6ff; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .bg-red-50 { background-color: #fef2f2; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-gray-500 { color: #6b7280; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-gray-600 { color: #4b5563; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-gray-900 { color: #111827; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-green-700 { color: #047857; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-green-800 { color: #065f46; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-red-700 { color: #b91c1c; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-red-800 { color: #991b1b; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-blue-700 { color: #1d4ed8; }
[2025-08-03 05:22:11]   ✅ Removed standalone property: .text-blue-800 { color: #1e40af; }
